Aa,Ad,Ba,Bd,s1,s2,p
0,1,1,2,1,3,0.03847908423664705
0,1,1,2,2,0,0.052966035380804834
0,1,1,2,2,1,0.06823951900771144
0,1,1,2,2,2,0.0404481763049979
0,1,1,2,2,3,0.019344790409264827
0,1,1,2,3,0,0.016418150121510162
0,1,1,2,3,1,0.02216729358386024
0,1,1,2,3,2,0.015188066085116587
0,1,1,2,3,3,0.004317443864416927
0,1,1,3,0,0,0.15648762331725583
0,1,1,3,0,1,0.15538613629927442
0,1,1,3,0,2,0.08957218341162282
0,1,1,3,0,3,0.04720936211466329
0,1,1,3,1,0,0.10628725057924009
0,1,1,3,1,1,0.13987766272437227
0,1,1,3,1,2,0.08290344378647523
0,1,1,3,1,3,0.04385175368838203
0,1,1,3,2,0,0.04128631666417159
0,1,1,3,2,1,0.05265294826209066
0,1,1,3,2,2,0.03225687268517242
0,1,1,3,2,3,0.017359325765425506
0,1,1,3,3,0,0.009522998224272673
0,1,1,3,3,1,0.013306495867430655
0,1,1,3,3,2,0.009212987247440546
0,1,1,3,3,3,0.0028266393627099633
0,1,2,0,0,0,0.07781175709490802
0,1,2,0,0,1,0.07966483950972153
0,1,2,0,0,2,0.05428269050147292
0,1,2,0,0,3,0.0319709661324217
0,1,2,0,1,0,0.10165985772621904
0,1,2,0,1,1,0.1326304119996
0,1,2,0,1,2,0.0909006781371526
0,1,2,0,1,3,0.0439866655452899
0,1,2,0,2,0,0.05522061172079885
0,1,2,0,2,1,0.09271164185759707
0,1,2,0,2,2,0.0671970161516212
0,1,2,0,2,3,0.03661074598269555
0,1,2,0,3,0,0.031738681746955
0,1,2,0,3,1,0.049016051038368355
0,1,2,0,3,2,0.04169021270282945
0,1,2,0,3,3,0.01290717215234882
0,1,2,1,0,0,0.09354499642467928
0,1,2,1,0,1,0.10333562045828382
0,1,2,1,0,2,0.07163948204485657
0,1,2,1,0,3,0.045426822491415206
0,1,2,1,1,0,0.09740249041356971
0,1,2,1,1,1,0.13695267464233274
0,1,2,1,1,2,0.09606888611759887
0,1,2,1,1,3,0.053579660305121
0,1,2,1,2,0,0.04600728049627074
0,1,2,1,2,1,0.07646059720787722
0,1,2,1,2,2,0.05727828158213823
0,1,2,1,2,3,0.03511511371152803
0,1,2,1,3,0,0.019676825852606085
0,1,2,1,3,1,0.03144894103850618
0,1,2,1,3,2,0.027030170131550037
0,1,2,1,3,3,0.009032157081666253
